"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Greenland","GRL","Secondary education, general pupils","SE.SEC.ENRL.GC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Lower secondary school starting age (years)","SE.SEC.AGES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Coverage of social safety net programs in richest quintile (% of population)","per_sa_allsa.cov_q5_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Coverage of social protection and labor programs (% of population)","per_allsp.cov_pop_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Net primary income (Net income from abroad) (current LCU)","NY.GSR.NFCY.CN","","","","","","","","","","","-51362500.0000001","-64718699.9999999","-72633399.9999999","-83521700","-102019600","-119544800","-143381300","-166925100","-193386300","-218000000","-268000000","-287000000","-225000000","-337000000","-288000000","-300000000","-400000000","-400000000","-450000000","-450000000","-450000000","-450000000","-450000000","-400000000","-350000000","-275000000","-200000000","-200000000","-200000000","-200000000","-200000000","-242000000","-242000000","-1113600000","-1333700000","-1125100000","-2114923600","-1130284300","","","","","","","","","","","","","",
"Greenland","GRL","GNI growth (annual %)","NY.GNP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3587083594981","8.05303177696656","-3.75337434907121","13.6781173634638","","","","","","","","","","","","","",
"Greenland","GRL","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","15375.2026609185","17088.7022281964","17731.0934769313","18667.3322461518","19533.2190761085","19619.8145894783","20747.1712752884","22714.6627775653","24179.2314261018","25150.0148688424","27005.3540652153","26758.5835561914","25327.634772623","25901.500924247","24280.2833847607","24931.5227856653","26551.2682264055","27705.0909224907","28883.8481997638","30528.833325866","26805.5775879331","26823.4062837444","25544.3258407202","24303.9235756971","25604.6223284605","26416.5439877304","26772.6416695689","27117.4015086751","29169.0769300141","29570.9931038529","31614.6517251413","31930.6286478313","31475.8540001692","32779.9156168261","34953.9857327976","36681.843754409","38829.5768138818","39896.9168745397","42527.7110946122","42899.7888333474","43198.0773094712","42994.9238212176","43655.7458877164","43338.4290158317","45545.1903286408","44536.4013080999","46561.8315883072","46597.9937295653","47584.3425314409","48209.3491571782","",
"Greenland","GRL","Gross value added at basic prices (GVA) (current LCU)","NY.GDP.FCST.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10035000000","10643100000","10751200000","11596500000","11822700000","12297900000","13136500000","13670400000","13994300000","14625500000","14637000000","15406400000","16312700000","17591700000","18191400000","18427700000","19120300000","",
"Greenland","GRL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Adjusted savings: net forest depletion (% of GNI)","NY.ADJ.DFOR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Machinery and transport equipment (% of value added in manufacturing)","NV.MNF.MTRN.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Financial intermediary services indirectly Measured (FISIM) (constant LCU)","NV.FSM.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Imports of goods and services (annual % growth)","NE.IMP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.929285632193341","14.1558082410164","-7.03669397933737","12.537363765961","16.7252370055574","-9.39844798412976","38.5595239628547","18.0025841474637","-30.0048839664109","-6.62645178716126","-11.4622505062192","1.73568569794983","10.9951427080406","-3.50693188667873","4.96495546032658","18.9382848300899","",
