"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","7.4697475225","","","","2.2469637902","","4.3060758731","5.2636011454","4.1230312526","2.0254395204","5.9983204703","4.9588416146","2.9636654614","4.9328150589","3.9427512518","3.9344907294","1.9598236159","3.8999658753","5.8159259439","1.9272278754","","","","","","",
"Aruba","ABW","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.868173755112","24.1491246846312","16.1269278651876","12.852645285991","10.0118774309254","5.1032098471303","8.66899820347826","9.49324813653691","13.2675934264538","11.9742319599001","9.20150278201406","8.48955739462637","13.7718350296335","13.8540644048709","23.5274998819346","18.0139769909753","18.9763227267591","6.48308499549989","22.1611542209901","1.80616333243458","3.69076144562657","1.10866636086543","0.815153529035336","1.95501325435521","1.43652869415869","",
"Aruba","ABW","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.9558708661416","45.0748709458676","44.0939870494095","46.8718805701389","35.8613840448959","1.18542974235897","34.3766659335553","20.2325886166466","26.188566812868","75.9912791640348","82.2470954774073","77.6860122275799","74.968215078819","74.6730231596363","68.2935880674196","59.0342317165632","50.346781623236","44.1068343260307","41.646370611864","43.6268850808441","50.2468683233598",
"Aruba","ABW","Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports)","TM.VAL.MRCH.R4.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00403764947960864","0.0131601276469336","0.0468738259148367","0.00754089948268176","0.0113790308829644","0.0171787778289083","0.0100446562748454","0.0160982815333411","0.00585268828471756","0.0491093365546474","0.0103183709954214","0.00298847433604738","0.0151686422687549","0.0144817918331049","0.00011729901867145","0.00398282402275782","0.00637792925329443","0.00931800446989213","0.00558352527635231","0.13946717272393","0.0109173190793064","0.00358977216066631","0.00435280666179247","0.00188605062854337","0.00624675382182552","",
"Aruba","ABW","Tariff rate, most favored nation, weighted mean, primary products (%)","TM.TAX.TCOM.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.86","6.67","7.2","","7.92","7.99","8.36","7.67","13.54","",
"Aruba","ABW","Tariff rate, most favored nation, weighted mean, manufactured products (%)","TM.TAX.MANF.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.93","10.95","10.95","","11.09","11.3","11.33","11.4","11.4","",
"Aruba","ABW","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8064100047669","26.580602006689","28.5330991327259","38.2133738932044","62.542949184803","46.8159608118255","40.8778743228543","57.6346150879952","48.5861901346822","22.5474119747263","19.1648620308122","17.6577101160954","18.1705976065285","19.1510508989618","35.0418580826917","68.7260034904014","19.7926946439331","44.8110916086024","69.6565387941065","70.6635772843009","68.0718536651856","74.948455559204","80.4572301082854","79.5771871634418","82.3284075874021","74.2890598131602",
"Aruba","ABW","Completeness of birth registration, female (%)","SP.REG.BRTH.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Population ages 75-79, female (% of female population)","SP.POP.7579.FE.5Y","0.441469151438393","0.460144414554722","0.478018143754361","0.505033034695078","0.536229891379073","0.560377229549648","0.587416386540355","0.614345991561181","0.651028558005302","0.690184049079755","0.728911271618846","0.812446549569107","0.87796599105715","0.948680589282823","1.01403553953129","1.08514190317195","1.13143261225933","1.16815644260867","1.1935264165018","1.20979544050213","1.23027981562033","1.30137868831336","1.38292799237005","1.47565636944671","1.55173483955062","1.63147792706334","1.69391065635139","1.74193957053272","1.78135048231511","1.79712202361747","1.80675070650621","1.73120450235517","1.65579237349572","1.56983728295293","1.4849953593895","1.41495529134322","1.42789598108747","1.41468335855459","1.34944927277196","1.2734964455493","1.20376868925328","1.21038778005762","1.25641336403668","1.327259101487","1.40768814293449","1.50036222213749","1.64287739861991","1.79143276946841","1.92999303319588","2.06168097605061","2.18609022556391","2.25459720609715","2.33913772232051","2.43108233117484","2.512498162035","2.57389207555442","2.59610493423443","2.60085309427415","2.6114168555088","2.65988866414878","2.75996008837574",
"Aruba","ABW","Population ages 50-54, female (% of female population)","SP.POP.5054.FE.5Y","4.05645015379048","4.08112699985842","4.05094207955338","3.97799993081739","3.91172831018837","3.86113578897014","3.81311330684866","3.77383966244726","3.75180375180375","3.72099226460389","3.67768868862236","3.6346293007039","3.56734880381214","3.49684312773191","3.43484419263456","3.39347630666495","3.39429783677799","3.39797992836168","3.41841533421983","3.48629223714592","3.61942478737908","3.86226001803891","4.1932920044508","4.5428911585939","4.84141269939793","5.04612717478794","5.16284002994759","5.24798885158675","5.33440514469453","5.42040394915145","5.48693360429302","5.38630941457148","5.32115412498188","5.31014524407557","5.3908425286171","5.53453866561855","5.52718676122932","5.56931260604393","5.68153890837597","5.84848881329321","6.05074544333142","6.2405438454683","6.43154365127459","6.63629550743502","6.86441333436461","7.11289892095932","7.44682862274317","7.73461929698979","7.95910297689657","8.13563789727369","8.29887218045113","8.51091719411258","8.75314275072167","8.98242368177613","9.11630642552566","9.11914069635746","9.00733958287915","8.76048293811452","8.4295528937808","8.10854350511035","7.84512864371748",
